dog_id,dog_name,sex,alt_status,animal_control,surrender_date,surrender_reason,description,age_months,microchip,email,DOB,a_email
133,Bo,male,1,0,2019-11-18,The animal doesn't match my new furniture.,is a 12-week-old Black Cur mix pup who got adopted and who thought he had found his fo,74,1459461853,kmunns@yearin.com,2013-09-18,lpadilla@conecom.com
134,Benny,male,1,0,2019-11-18,decided they have too many animals at home, was homeless and roaming the streets which eventually led to his being picked-up,148,8683087184,asmith@zotware.com,2007-07-18,esaylors@y-corporation.com
135,Honey,female,1,0,2019-11-19,I don't want the dog to scratch my new floors.," has quite a resume.  He has graduated Basic I Obedience, Basic II Obedience, learned ",141,NULL,rdiestel@goodsilron.com,2008-02-19,aboord@faxquote.com
136,Ace,male,1,0,2019-11-20,I didn't know that owning an animal was this expensive," When her dad passed away in a tragic accident, she and her ""brother""  found themselv",241,8406288680,ncoyier@funholding.com,1999-10-20,ncartan@statholdings.com
137,Athena,female,1,0,2019-11-20,decided they have too many animals at home,  is a two and a half old and such a sweetheart.   loves the car and likes ,115,8855820847,dmontezuma@green-plus.com,2010-04-20,dseewald@goodsilron.com
138,Elvis,male,1,0,2019-11-21,I didn't know that owning an animal was this expensive,is a very loving and affectionate 5 1/2 year old dog who is great with adults but he ha,43,1588289273,mmallett@konex.com,2016-04-21,kcraghead@sumace.com
139,Roxie,female,1,1,2019-11-22,The animal chews and I don't want my belongings destroyed.," If you're looking for a “no brainer”, check out this girl. She is a really E",133,NULL,jgiguere@openlane.com,2008-10-22,lbayless@sumace.com
140,Leo,male,1,0,2019-11-22,The dog barks too much or the cat meows too much.," has quite a resume.  He has graduated Basic I Obedience, Basic II Obedience, learned ",116,8995897848,sahle@treequote.com,2010-03-22,lflister@hottechi.com
141,Marley,female,1,0,2019-12-02,I have decided that my family is allergic to the animal.," Looking for a happy, silly, sweet & funny pup?  Check out her as she is all these and m",247,2929126033,asmith@zotware.com,1999-05-02,wmeteer@domzoom.com
142,Abby,female,1,0,2019-12-03,decided they have too many animals at home," This sweet brindle boy with the crooked smile is Whopper. He's such a good boy - playful,",20,7321356173,gmatuszak@green-plus.com,2018-04-03,eadkin@stanredtax.com
143,Lexie,unknown,1,0,2019-12-03,renovating the house or redoing the yard," Looking for a happy, silly, sweet & funny pup?  Check out her as she is all these and m",132,NULL,barias@xx-holding.com,2008-12-03,woles@codehow.com
144,Lady,unknown,1,0,2019-12-05,"My two dogs, who are brother and sister, keep having litters of puppies.",  was a service dog for an elderly man who recently passed away. Now this boy needs a new home,116,5556057839,ncoyier@funholding.com,2010-04-05,jacey@inity.com
145,Cash,male,1,0,2019-12-10,don't like the way the dog reacted to a child," Looking for a happy, silly, sweet & funny pup?  Check out her as she is all these and m",87,4353377498,rdiestel@goodsilron.com,2012-09-10,ladkin@domzoom.com
146,Boomer,male,1,0,2019-12-12,decided they have too many animals at home, she was being given away in the back of a gas station in a rural Texas town when one of our,167,NULL,sjurney@groovestreet.com,2006-01-12,msetter@fasehatice.com
147,Milo,male,1,0,2019-12-13,allergies are a problem, he has had a hard start to his life! This little blue nose nugget of wiggles was scheduled ,44,NULL,nbatman@ron-tech.com,2016-04-13,rtegarden@donquadtech.com
148,Izzy,female,1,0,2019-12-16,"I ""Found"" the animal.", I'm a good-looking Redbone with big soulful eyes (so I'm told) who&,167,7047413542,dkeetch@golddex.com,2006-01-16,snicka@year-job.com
149,Buddy,male,1,0,2019-12-18,having 'personal problems', he has had a hard start to his life! This little blue nose nugget of wiggles was scheduled ,174,6072982334,jgiguere@openlane.com,2005-06-18,cpagliuca@betasoloin.com
150,Lacey,female,1,0,2019-12-20,I don't want the dog to scratch my new floors., is a super sweet boxer/dane mix!  He came from a rural animal contro,33,4793706812,mo@burdell.com,2017-03-20,xdubaldi@iselectrics.com
151,Bruno,unknown,1,1,2019-12-24,the pet sheds too much, is beautiful and sweet.  Loves to play and eat.  A little shy and independent.,24,169698559,rdiestel@goodsilron.com,2017-12-24,ehirpara@sunnamplex.com
152,Olive,female,1,0,2019-12-25,The animal has had (puppies/kittens) and I don't know how that happened and I don't want them anymore.,  was dumped at a mailbox in rural Texas; is a sweet shy girl  w,126,936657565,smaclead@openlane.com,2009-06-25,troyster@kan-code.com
153,Bear,male,1,0,2019-12-25,I am moving and I can't take them with me.,is a handsome 3 1/2 year old Shepherd mix. He is good with other dogs.  He would do,50,NULL,ncoyier@funholding.com,2015-10-25,whamilton@opentech.com
154,Milo,male,1,0,2019-12-26,The animal turned 10 and you surrender the animal when it reaches that age.,is a 1 year old Terrier mix! He is walks well on a leash and loves affection. He would prefer,146,NULL,dmontezuma@green-plus.com,2007-10-26,msetter@fasehatice.com
155,Misty,unknown,1,0,2019-12-30,I don't want to be responsible for the animal anymore., Handsome and elegant - that's how they describe him; was found as a str,191,NULL,dkeetch@golddex.com,2004-01-30,hseewald@j-texon.com
156,Chance,male,1,1,2019-12-31,haven't thought about any other options, would be a wonderful addition to your family as long as she's the only fur,27,7463414892,mo@burdell.com,2017-10-01,smeteer@dalttechnology.com
157,Riley,female,1,0,2020-01-01,The animal attacks me and my family., I'm looking to to rehome my male Catahoula Leopard Dog/Mountain Cur.,265,8180781419,jsweely@fasehatice.com,1997-12-01,lwalthall@betasoloin.com
158,Jackson,male,1,1,2020-01-03,"My two dogs, who are brother and sister, keep having litters of puppies.",Meet a handsome black Lab mix who's almost 5 years old,250,NULL,gmatuszak@green-plus.com,1999-03-03,yisenhower@dambase.com
159,Roxy,female,1,0,2020-01-07,I need to surrender my dog because it chewed my sprinkler heads.,is a very loving and affectionate 5 1/2 year old dog who is great with adults but he ha,33,5944042237,jgiguere@openlane.com,2017-04-07,kharnos@conecom.com
160,Maya,female,1,0,2020-01-10,The animal attacks my other animals.," Looking for a wonderful family pet? Please check out this pup with the wagging tail, he'd be s",229,2020876706,sahle@treequote.com,2000-12-10,chirpara@rantouch.com
161,Max,male,1,0,2020-01-16,don't like the way the dog reacted to a child,"is a goofy, exciteable, very well trained 8 year old pug-boxer-something mix who",87,NULL,ncoyier@funholding.com,2012-10-16,icaldarera@yearin.com
162,Brandy,female,1,0,2020-01-22,I didn't know I adopted a boy/girl animal.,   I'm an absolute awesome dog and I love all people. My foster says I have,35,734163028,lmenter@plexzap.com,2017-02-22,mstem@betasoloin.com
163,Gizmo,male,1,0,2020-01-22,I have decided that my family is allergic to the animal.,"  is a loving, snuggly girl who loves long walks and going for car rides but she's als",164,9511448238,gmatuszak@green-plus.com,2006-05-22,dseewald@goodsilron.com
164,Champ,male,1,0,2020-01-23,Landlord won't let me keep the animal.," has quite a resume.  He has graduated Basic I Obedience, Basic II Obedience, learned ",75,7681306976,barias@xx-holding.com,2013-10-23,lwalthall@betasoloin.com
165,Scout,unknown,1,1,2020-02-04,The animal pooped/peed on the floor., This beautiful boy  was adopted out as a puppy to a loving couple but recently has c,72,1712461229,edubaldi@finhigh.com,2014-02-04,jacey@inity.com
166,Marley,male,1,0,2020-02-12,My doctor told me that the cat will suck the life out of my newborn baby.," When their dad passed away in a tragic accident, he and his ""sister""  ",7,8069469232,rdiestel@goodsilron.com,2019-07-12,jblackwood@dambase.com
167,Katie,female,1,1,2020-02-13,don't know how to handle the animal's medical needs,"a beautiful Hound mix, 7 years old, and weighing 43 pounds.",38,NULL,gmatuszak@green-plus.com,2016-12-13,lstockham@j-texon.com
168,Pebbles,female,1,0,2020-02-17,My doctor told me that the cat will suck the life out of my newborn baby.,is a 3 year old Lab mix who loves people.  She is currently living with 2 children,18,NULL,kmunns@yearin.com,2018-08-17,wmeteer@domzoom.com
169,Winnie,female,1,1,2020-02-18,I have decided that my family is allergic to the animal.," Meet Louie, originally named Jellybean for his love of candy and sweet disposition. He was adopted",56,NULL,smaclead@openlane.com,2015-06-18,ttromblay@dontechi.com
170,Benji,male,1,0,2020-02-19,The animal chews and I don't want my belongings destroyed., is a sweetie pie! He's very laid back and gentle with people. He walks well on ,114,NULL,lmenter@plexzap.com,2010-08-19,anievas@rangreen.com
171,Layla,female,1,0,2020-02-28,don't know how to handle the animal's medical needs, ended up at an animal shelter as a stray and that's where our rescuer discovered this un,165,1617929290,rdiestel@goodsilron.com,2006-05-28,dseewald@goodsilron.com
172,Elvis,male,1,1,2020-02-28,think the dog is too hyper, he has had a hard start to his life! This little blue nose nugget of wiggles was scheduled ,194,2801951418,walbares@conecom.com,2003-12-28,adenooyer@kinnamplus.com
173,Baxter,male,1,0,2020-03-02,I have decided I am allergic to the animal., was recently diagnosed with glaucoma and required surgery to remove both eyes. :( Consi,246,NULL,cjurney@groovestreet.com,1999-09-02,awildfong@conecom.com
174,Sierra,female,1,0,2020-03-04,I have decided that my family is allergic to the animal.,  I came from a shelter that euthanizes over a hundred animals a week. I turned on,79,NULL,rdiestel@goodsilron.com,2013-08-04,cbourbon@betasoloin.com
175,Benji,male,1,0,2020-03-04,haven't thought about any other options," has quite a resume.  He has graduated Basic I Obedience, Basic II Obedience, learned ",93,NULL,srodefer@ontomedia.com,2012-06-04,kbenimadho@donquadtech.com
176,Holly,female,1,0,2020-03-06,upset that the dog bit somebody, this boy and his siblings were being given away in a Walmart parking lot in Texas right before the ne,171,9684801212,tmarrier@hottechi.com,2005-12-06,jlueckenbach@plussunin.com
177,Max,unknown,1,0,2020-03-10,the pet sheds too much, is super friendly and loves other cats,137,7476386818,cjurney@groovestreet.com,2008-10-10,vlouissant@sunnamplex.com
178,Duke,male,1,0,2020-03-18,the pet sheds too much, Meet  a sweet-as-pie Brindle/Blue Nose Pit Bull who needs a new place to live,153,NULL,rdiestel@goodsilron.com,2007-06-18,icaldarera@yearin.com
179,Cleo,unknown,1,0,2020-03-19,The animal chews and I don't want my belongings destroyed.," Have you been looking for a Labrador Retriever to join your family? Labs have such great, goofy, c",0,566618980,cvonasek@toughzap.com,2020-03-19,chirpara@rantouch.com
180,Cocoa,female,1,1,2020-03-24,upset that the dog chewed on something or had an accident,is a very friendly and energetic Rottweiler mix who is7 years old & weighs 59,84,9255463784,rdiestel@goodsilron.com,2013-03-24,jlueckenbach@plussunin.com
181,Millie,unknown,1,0,2020-03-25,The animal has a behavior that I don't want to try to work with and correct., LOVES toys and has been entertaining himself in his run. But it's so much nicer to see,33,7044703794,walbares@conecom.com,2017-06-25,cyori@donware.com
182,Max,male,1,0,2020-03-26,don't have time for the dog anymore, he has had a hard start to his life! This little blue nose nugget of wiggles was scheduled ,23,NULL,dkeetch@golddex.com,2018-04-26,hmenter@doncon.com
183,Chance,male,1,1,2020-03-26,I have decided that my family is allergic to the animal.,is a wonderful family member.  He is 13 years old and has been with,63,1271437267,dkeetch@golddex.com,2014-12-26,aostolaza@finjob.com
184,Copper,male,1,0,2020-03-27,The animal attacks me and my family.,How could you resist that face! he is a 3 year old stocky little boy who loves attention.,77,2305374321,jsweely@fasehatice.com,2013-10-27,chagele@zencorporation.com
185,Bubba,male,1,0,2020-03-31,The animal attacks my other animals.,is a 3 year old Lab mix who loves people.  She is currently living with 2 children,204,4376976102,jgiguere@openlane.com,2003-03-31,woles@codehow.com
186,Sandy,female,1,0,2020-04-02,"”My cat is a w***e, she keeps getting pregnant by the neighbor's cat and the babies keep dying. This is the third time and I am done with this!”"," is a fun, energetic girl who was found as a stray in south Texas.  Her owners refused ",106,NULL,mdeleo@funholding.com,2011-06-02,yisenhower@dambase.com
187,Penny,female,1,0,2020-04-03,I have decided I am allergic to the animal.,  was found curled up in a shivering ball one frosty morning in the landscaping outside of a ,83,2351193848,mmallett@konex.com,2013-05-03,kpatak@groovestreet.com
188,Louie,male,1,1,2020-04-07,"”My cat is a w***e, she keeps getting pregnant by the neighbor's cat and the babies keep dying. This is the third time and I am done with this!”"," Meet Louie, originally named Jellybean for his love of candy and sweet disposition. He was adopted",46,NULL,ncoyier@funholding.com,2016-06-07,ckippley@plussunin.com
189,Moose,male,1,0,2020-04-09,allergies are a problem," After being abandoned in rural east Texas, wandered up to a home. The kind family took h",93,6332625943,smaclead@openlane.com,2012-07-09,kbreland@year-job.com
190,Ellie,female,0,0,2020-04-10,The animal has had (puppies/kittens) and I don't know how that happened and I don't want them anymore., We don't know what happened to him before he arrived,60,NULL,fcrupi@rangreen.com,2015-04-10,NULL
191,Benny,male,1,0,2020-04-10,I need to surrender my dog because I just had my carpets cleaned.,"   a German Shepherd Mix.  I'm a bit timid at first, but once I get ",143,5369822981,fcrupi@rangreen.com,2008-05-10,bdiestel@condax.com
192,Mimi,female,1,0,2020-04-13,I don't want to be responsible for the animal anymore.,is a 12-week-old Black Cur mix pup who got adopted and who thought he had found his fo,93,NULL,dkeetch@golddex.com,2012-07-13,jmirafuentes@rangreen.com
193,Kobe,male,1,0,2020-04-14,didn't know the cat would sleep all day,   I'm an absolute awesome dog and I love all people. My foster says I have,83,NULL,dmontezuma@green-plus.com,2013-05-14,vlouissant@sunnamplex.com
194,Layla,female,1,0,2020-04-16,The animal attacks me and my family.,is a 3 year old Lab mix who loves people.  She is currently living with 2 children,43,8193161267,jgiguere@openlane.com,2016-09-16,lharabedian@plussunin.com
195,Boomer,male,1,0,2020-04-17,I don't have time for the animal.," After being abandoned in rural east Texas, wandered up to a home. The kind family took h",99,7339516057,edubaldi@finhigh.com,2012-01-17,jspickerman@y-corporation.com
196,Callie,female,1,0,2020-04-20,decided they have too many animals at home, is a PRECIOUS little man!  He's so sweet and snuggly!   gets along w,152,7960026909,mmallett@konex.com,2007-08-20,kpedrozo@kan-code.com
197,Buddy,male,1,0,2020-04-23,allergies are a problem,"is a senior boy, 11-12 years old, the life he led before being rescued was filled",27,NULL,cjurney@groovestreet.com,2018-01-23,lmonarrez@goodsilron.com
198,Buster,male,1,0,2020-04-30,decided they have too many animals at home," is a ball-chasing, attention-loving, breathtakingly gorgeous boy.  A perfect day",55,1180081313,mo@burdell.com,2015-09-30,rgarufi@bioplex.com
199,Scout,female,1,0,2020-05-07,I got a new house and don't want it., is a sweet girl who was separated from her litter after having to have a lifesaving blood tr,4,NULL,dkeetch@golddex.com,2020-01-07,brhym@dambase.com
200,Brady,male,1,0,2020-05-11,think the dog barks too much,is an 8 year old Pointer mix who is looking for a place to spend his golden years. This ha,74,NULL,mdeleo@funholding.com,2014-03-11,aspickerman@green-plus.com
201,Copper,male,1,0,2020-05-12,The animal chews and I don't want my belongings destroyed., was rescued from euthanasia at a Texas shelter. he is energetic and playful. He gets alon,260,5339875379,barias@xx-holding.com,1998-09-12,icaldarera@yearin.com
202,Brody,male,1,0,2020-05-14,renovating the house or redoing the yard,is a wonderful family member.  He is 13 years old and has been with,22,NULL,edubaldi@finhigh.com,2018-07-14,ebowley@ganjaflex.com
203,Mickey,male,1,0,2020-05-19,When I got it the animal was small and cute and now it is grown up and not cute.,  loves to snuggle & have her ears scratched. She loves to play with oth,126,3496488220,mmallett@konex.com,2009-11-19,bflosi@ganjaflex.com
204,Bandit,male,1,0,2020-05-22,"I told my dying family member that I would care for their animal after they died to make them feel better, but I really don't want the animal so I am surrendering it to you.", she was being given away in the back of a gas station in a rural Texas town when one of our,241,4054902946,tmarrier@hottechi.com,2000-04-22,aboord@faxquote.com
205,Brutus,male,0,0,2020-05-25,the pet sheds too much,  is a two and a half old and such a sweetheart.   loves the car and likes ,84,3809882192,tmarrier@hottechi.com,2013-05-25,NULL
206,Mocha,female,1,0,2020-05-25,upset that the dog chewed on something or had an accident,"    has the floppiest ears and the saddest eyes, but ",90,2209144417,vmenter@silis.com,2012-11-25,cpagliuca@betasoloin.com
207,Shadow,female,0,1,2020-05-28,"”My cat is a w***e, she keeps getting pregnant by the neighbor's cat and the babies keep dying. This is the third time and I am done with this!”","From his foster mom: is an 8-month-old, 43 pound, Black Lab who spent his firs",130,NULL,cvonasek@toughzap.com,2009-07-28,NULL
208,Sugar,female,0,0,2020-05-29,didn't realize that the animal would need so much attention,  was a service dog for an elderly man who recently passed away. Now this boy needs a new home,120,1279487985,jgiguere@openlane.com,2010-05-29,NULL
209,Bailey,male,1,0,2020-06-01,don't have time for the dog anymore, he has had a hard start to his life! This little blue nose nugget of wiggles was scheduled ,55,NULL,ncoyier@funholding.com,2015-11-01,jbuvens@plusstrip.com
210,Joey,male,1,0,2020-06-02,allergies are a problem, she was being given away in the back of a gas station in a rural Texas town when one of our,146,6580299670,cjurney@groovestreet.com,2008-04-02,ebowley@ganjaflex.com
211,Finn,male,1,0,2020-06-02,I am moving and I can't take them with me., This gorgeous boy is a Saint Bernard mix. He is,15,3069312414,cvonasek@toughzap.com,2019-03-02,bmastella@kan-code.com
212,Sophie,unknown,0,0,2020-06-04,My child moved to college and left their animal behind.,"   is a loving, young, playful bundle of joy & energy who would love to find herself ",104,1879183892,kmunns@yearin.com,2011-10-04,NULL
213,Charlie,female,0,0,2020-06-05,The animal pooped/peed on the floor.,is a handsome 3 1/2 year old Shepherd mix. He is good with other dogs.  He would do,159,7241808764,jsweely@fasehatice.com,2007-03-05,NULL
214,Grace,female,1,0,2020-06-05,I am going to have a child and don't want the animal anymore.,  He's approximately one to one and a half years old. He was rescued a few months,150,4935743572,cjurney@groovestreet.com,2007-12-05,ahusser@finhigh.com
215,Charlie,male,1,1,2020-06-08,The dog barks too much or the cat meows too much.,  was recently rescued from euthanasia at a Texas shelter. She has the sweetest face!  I,107,9790715047,sahle@treequote.com,2011-07-08,kweglarz@streethex.com
216,Dixie,female,1,0,2020-06-10,The animal turned 10 and you surrender the animal when it reaches that age.,"  is in foster and here's what her foster has to say: Meet the most lovable, frie",36,4262910035,fcrupi@rangreen.com,2017-06-10,esaylors@groovestreet.com
217,Jackson,male,0,1,2020-06-12,can't or don't want to handle the costs of the pet's needs, this boy and his siblings were being given away in a Walmart parking lot in Texas right before the ne,43,3539230546,asmith@zotware.com,2016-11-12,NULL
218,Angel,female,0,0,2020-06-15,I don't have time for the animal.,  a big scruffy pup and devoted friend to those he trusts.  But trust takes tim,197,5383692461,dkeetch@golddex.com,2004-01-15,NULL
219,Bailey,male,1,0,2020-06-16,upset that the dog chewed on something or had an accident, would be a wonderful addition to your family as long as she's the only fur,119,3508454855,dkeetch@golddex.com,2010-07-16,cmorasca@ganjaflex.com
220,Josie,female,0,0,2020-06-17,allergies are a problem, was rescued from euthanasia at a Texas shelter. he is energetic and playful. He gets alon,195,9249157474,barias@xx-holding.com,2004-03-17,NULL
221,Hunter,male,1,0,2020-06-19,I don't have time for the animal.,"  is looking for a family of his own, preferably one with kids as he loves children! ",83,9714706018,sahle@treequote.com,2013-07-19,loldroyd@hottechi.com
222,Trixie,female,0,0,2020-06-24,The animal chews and I don't want my belongings destroyed.," If you're looking for a “no brainer”, check out this girl. She is a really E",89,4662455221,srodefer@ontomedia.com,2013-01-24,NULL
223,Athena,female,0,0,2020-06-24,having 'personal problems'," Meet Lucky!!! He might not have been so lucky in the past, but we hope he will be lucky ",80,2723749351,edubaldi@finhigh.com,2013-10-24,NULL
224,Bentley,male,1,0,2020-06-25,The animal chews and I don't want my belongings destroyed.,is a very friendly and energetic Rottweiler mix who is7 years old & weighs 59,118,7704051752,rdiestel@goodsilron.com,2010-08-25,smeteer@dalttechnology.com
